Designator,Mid X,Mid Y,Rotation,Layer
C1,118.872,-79.248,45.0,bottom
C10,114.02,-67.424,270.0,top
C11,97.79,-64.008,90.0,top
C12,100.571,-60.706,0.0,top
C13,105.283,-56.896,90.0,top
C14,105.283,-53.861,270.0,top
C15,103.759,-56.896,90.0,top
C16,103.759,-53.848,270.0,top
C17,115.697,-60.553,270.0,top
C18,115.697,-57.518,90.0,top
C19,103.759,-59.957,270.0,top
C2,114.554,-66.04,45.0,bottom
C20,105.283,-59.944,270.0,top
C21,103.352,-68.453,270.0,top
C22,105.625,-70.739,180.0,top
C23,109.5248,-75.8444,270.0,top
C24,116.332,-81.1276,180.0,top
C25,120.690008,-69.638,45.0,bottom
C26,118.999,-79.5528,90.0,top
C27,107.2896,-75.8444,270.0,top
C29,116.078,-80.264,225.0,bottom
C3,119.661008,-64.177,180.0,bottom
C30,120.65,-79.5528,90.0,top
C31,111.2012,-75.8444,270.0,top
C34,112.8776,-75.8444,270.0,top
C35,123.3424,-76.2508,180.0,top
C36,122.4788,-69.7484,270.0,top
C4,108.458,-75.184,225.0,bottom
C5,121.807008,-66.45,90.0,bottom
C6,105.651,-63.881,0.0,top
C7,112.662,-70.104,0.0,top
C8,109.601,-70.104,180.0,top
C9,105.638,-65.405,180.0,top
D1,110.49,-82.55,90.0,bottom
D2,104.648,-82.55,90.0,bottom
D3,106.312587,-90.17,90.0,top
D5,101.4476,-79.7052,270.0,top
D6,114.3,-90.678,90.0,top
D7,110.236,-90.678,90.0,top
D9,115.697,-58.166,90.0,bottom
FB1,122.4788,-73.3044,270.0,top
FB3,108.4072,-78.486,180.0,top
FL1,112.5728,-51.181,90.0,top
IC1,110.255,-66.147,0.0,top
IC2,110.49,-56.896,90.0,top
IC3,115.951,-78.486,180.0,top
J1,91.694,-66.548,90.0,bottom
J2,119.38,-44.49,0.0,top
J3,92.837,-77.343,90.0,bottom
J4,101.473,-89.789,180.0,bottom
J5,112.268,-89.789,180.0,bottom
L1,112.8268,-82.296,270.0,top
Q1,94.2848,-77.1144,270.0,top
Q2,106.8324,-83.1088,270.0,top
R1,98.044,-65.024,180.0,bottom
R10,99.822,-73.66,90.0,bottom
R11,109.728,-85.344,0.0,bottom
R12,103.886,-85.344,0.0,bottom
R13,91.3892,-77.5716,90.0,top
R14,105.664,-62.23,0.0,top
R15,124.206,-63.5,90.0,bottom
R16,101.219,-61.341,0.0,bottom
R17,98.298,-84.582,270.0,bottom
R18,102.616,-90.17,270.0,top
R19,122.09,-63.34,90.0,bottom
R2,98.044,-63.246,180.0,bottom
R20,114.817257,-62.973688,90.0,bottom
R21,116.59,-63.0,90.0,bottom
R3,111.506,-62.23,90.0,bottom
R5,96.774,-71.12,0.0,bottom
R6,106.8324,-86.0044,180.0,top
R7,112.268,-48.006,135.0,top
R8,121.92,-82.042,270.0,bottom
R9,99.822,-81.026,270.0,bottom
TH1,111.506,-58.674,90.0,bottom
U1,115.119223,-72.912551,225.0,bottom
U2,100.584,-63.627,270.0,top
U3,99.25,-77.343,180.0,bottom
U4,101.4476,-84.2264,90.0,top
Y1,119.583008,-66.294,180.0,bottom
Y2,105.638,-68.388,90.0,top
